,title,author,genre,story,platform
0,독고3 [완전판],"민(Meen),백승훈",소년,"[독고3]
모든 일에 의욕을 잃고 표류하던 태진은 과거 당영고 씨름부 주장이었던 심상윤으로부터
영입 제안을 받게 되고 결국 현실과 타협하고 주먹의 세계에 몸을 담게 된다.
그리고 그 세계에 적응해나가면서 점차 나락으로 떨어짐을 느끼게 되는데...
독고 시리즈 중 가장 처절한 이야기가 펼쳐진다.",카카오페이지
1,뒤끝작렬,"조석호,안정혁",드라마,"“야, 착각하지마. 난 한번도 널 동생으로 생각한 적 없어. 주제를 모르고”
가슴을 파고드는 비수였다. 
한명우.
명석한 두뇌와 재벌가의 자식이었다.
다만 하늘은 모든 걸 주지않았다.
불치병 수준인 선천적 심장병.
이를 악물고 인정받기 위해 최선 또 최선을 다했다. 
그러나 아버지인 회장을 비롯해 식구 그 누구도 진심으로 대하지 않았다. 

그러던 그가 급작스런 사고를 당했다.
그리고......
치명적인 부상을 당한 대학생 김철민의 몸으로 들어갔다.
 
건강하다.
아니 건강하다못해 넘친다.
잘돌아가는 머리에 체력까지.......

이제 두 마리 토끼를 잡으러 간다.
꼭 두 마리 토끼여야 했다.",카카오페이지
2,화산권마,"진선규,우각",액션무협,"자신의 마을이 습격받고 유일하게 살아남은 담호, 하지만 담호는 절름발이다. 무인으로서 최악의 조건이지만 담호는 수련을 멈추지 않는다. 주변 사람들로부터 무인이 될 수 없다고 듣지만 끝까지 포기하지 않는 담호, 과연 그는 최고의 무인이 될 수 있을 것인가?",카카오페이지
3,카르세아린,"유중관,차우민,임경배",소년,"최초의 무단가출 드래곤 아린의 
좌충우돌 인간계 모험기!!! 
 
대륙 중앙을 차지하는 거대한 산악지대

라르테아드 산맥에는 드래곤 중 가장 성질이 더럽다는

레드 드래곤 일족이 살고 있었는데... 

평소 인간 용사의 모험을 동경하던 300살의 어린(?) 해츨링

레드 드래곤 '카르세아린'은 유일하게 알고 있는 형태 변환 마법인 

'폴리모프'를 이용해 인간으로 변신하여 



일족 몰래 무단 가출을 감행하게 된다.
 

인간이 된 아린은 용사가 되기는커녕

오크에게 쫓기고,

노예로 팔리기도 하고,

공주가 되어보기도 하면서

인간의 몸으로 험난한 모험을 시작하는데!",카카오페이지
4,지독한 릴리,"헤모,은록",로판,"시리프 신성 제국의 성녀, 릴리 스텔라.
그녀는 누구도 감히 올려다볼 수 없는 성스러운 존재였다.
하지만 어느 날부턴가 신의 목소리가 들리지 않더니, 시리프 신성 제국을 멸망으로 이끌어 버렸다.
적의 손에 의해 우물에 던져진 릴리 스텔라는 태어나서 처음으로 온 힘을 다해
평생 모셔온 시리프 신에게 저주를 퍼붓는다.

“시리프. 아직 내 목소리를 듣고 있다면, 다시 기회를 줘.
하지만 나를 이대로 죽여 당신 품에 가둔다면, 난…….”

“난 너를 산 채로 갈가리 찢어 삼킬 거야.”

눈을 떠보니 어찌 된 영문인지 릴리 스텔라는 17년 전, 6살 어린아이로 돌아와 있었다.
그리고 한없이 순백했던 릴리 스텔라는 전생의 성녀였던 자신을 버리고
오로지 자신만을 위해 한없이 지독해지기로 한다.",카카오페이지
5,책 먹는 마법사,"크루 이스트우드,메켄로",소년,"“…학생, 자네가 지금 몇 서클이지?”

3년째 아카데미를 졸업하지 못하고 있는 낙제생, 테오도르 밀러.
명석한 두뇌와 의지만으로는 재능이란 벽을 뛰어넘어 수 없었고,
마법사가 될 수 없는 불운한 현실은 계속 되었다.

그렇게 절망과 한숨의 나날 끝에 새로운 전환 점이 찾아오게 되는데...

탐욕스럽게 지식을 탐닉하고 주인의 힘으로 만들어주는 탐욕의 마도서, 
'글러트니'가 테오도르의 손에 깃들게 되었다.

어느 책이든 손만 뻗으면 그 속의 어떤 마법이라도 그의 것이 된다.
이제 수석 졸업은 따놓은 당상! 아니, 세계 정복도 시간문제?!

“그래, 전부 다 먹어 치워주마!”

노력과 근성만으로는 안 된다고? 그게 아니라 다 때가 있는 법!
순도 99% 노력파 마법사에게 '살짝 귀찮은' 1%의 기연이 찾아왔다!",카카오페이지
6,이번 생은 가주가 되겠습니다,"앤트스튜디오,몬, 앤트스튜디오,김로아",로판,"“…한번 해 보자. 내가 가주가 되는 거야.”

제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아.
게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한
말그대로 제국의 역사 자체!

금수저 오브 금수저 인생 당첨!
앞으로는 탄탄대로일 거라 생각했는데….
아버지는 돌아가시고, 친척들은 문전박대,
거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야!!

분통을 터트리며 술을 조금(?) 많이 마시며 돌아가는 길,
마차에 치여버리기까지!

“이건 해도 해도 너무하잖아….”

하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다?!
사랑하는 아버지를 다시 보는 것도 믿기지 않는데,
내가 아버지와 가문을 살릴 수도 있다고?

거기다 회귀 전 가문의 원수,
2황자가 대형견마냥 졸졸 쫓아다니기까지?!

좋아, 이렇게 된 거 2황자도 가문도 다 내 거다!

환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트!

**************************

[표지 및 타이틀 로고 디자인] 조정원

**************************

웹툰 [이번 생은 가주가 되겠습니다]는 매주 월요일, 주1회 연재됩니다.",카카오페이지
7,묵향 다크레이디,"이재헌,구깃,전동조",소년,"마교의 교주로서 극강의 무공을 자랑하던 묵향은 적들(혈교)에 의해 생전 처음 보는 생소한 이세계(판타지 세계)로 떨어지게 된다. 그곳에서 엘프, 마법사, 기사, 드래곤 등 새로운 존재들과 만나며... 무림 최고수 묵향이 원래 자신의 세상(무림)으로 돌아가기 위해 긴 모험을 떠나게 된다는 스토리.

한국의 무협소설과 판타지 문학을 사랑하는 수많은 독자들이 기다려왔던 초대형 이벤트― 웹툰계를 뒤흔들 다시없을 프로젝트가 시작된다! 
1999년부터 시작된 전설, 누계부수 300만부... 무협소설과 판타지문학을 접목시킨 기념비적인 장르소설인 [묵향]이 드디어 만화화!! 

한국 무협판타지의 한 획을 그었던 전동조 작가의 메가히트 장르소설 [묵향]을 만화화! 만화의 내용은 원작의 2부격인 [다크레이디] 편에서부터 시작한다.",카카오페이지
8,용이 비를 내리는 나라,썸머,BL/GL,"'용을 깨우는 나라는 태평성대를 누린다.'

국토의 반이 사막인 제국 라한. 
이곳 세계에서는 용이 출현한 나라가 부흥한다는 오랜 전설이 있다. 
그러나 거의 몇 백 년 전을 마지막으로 제국에서는 용이 나타나지 않았다. 

그러던 중 라한에서 용의 부화 조짐이 보이고,
야심가인 황태자는 용의 부화 소식에 누구보다 기뻐한다. 

그러나 그가 대면한 용은 아직 이지 능력도 없는 미성숙한 어린아이의 모습!
용의 성장할 때까지 기다려야 한다는 신관의 간언에 
황태자는 용의 부화 사실을 함구하라 명하고 황궁의 궁 깊숙한 곳에 용을 숨긴다. 

그리고 용의 축일 전야. 
늦은 밤, 황궁에서 일하는 스우는 
태자의 말이 있는 축사에서 정체불명의 어린 소년과 만나는데…!

어린 아이의 모습으로 태어난 용과 
나단과 함께 라한을 떠나고 싶은 소년 스우, 그리고 황태자. 
아름다운 동양의 나라에서 이들이 엮어내는 사랑과 집착의 론도.
************************************************
<소라의 눈>, <해피 버스 데이> 등 인기 만화가 썸머의 최신작!


[로고 및 표지 디자인] 디자인그룹 헌드레드

************************************************

웹툰 [용이 비를 내리는 나라]는 매주 월요일, 주1회 연재됩니다.",카카오페이지
9,환골탈태,마고(mago),드라마,"부드러운 살가죽, 짧고 까칠한 털, 작고 조그만 발....

이 해괴하고 귀여운 생물체는 대체 무엇?!

해골(스켈레톤)은 독립하면서 아기 고양이를 기르기로 한다.

드디어 이사 날에 인간계 대행 서비스를 이용해 받은 아기 고양이!
그런데 몸에 털도 별로 없고... 아기 고양이가 원래 이렇게 생겼었나?

인간계 대행 서비스 센터는 연결이 되지 않고,
졸지에 돌연변이 아기 고양이를 떠맡은 해골!

설상가상 아기 고양이의 울음소리에 옆집에서 항의가 쏟아지는데....

아기 고양이... 키울 수 있을까?!

마계에서 벌어지는 해골과 악마 아담, 서큐버스 릴리의 좌충우돌 아기 고양이 
육아 대작전이 시작합니다!",카카오페이지
10,8클래스 마법사의 회귀,"테스,류송",소년,"황제 라그나르와 통일 제국을 위해 손에 피를 묻히길 수십 년.
나는 고향으로 돌아가 속죄하며 죽은 듯이 살고자 했다.

그러나,

“자네는 언제든지 나를, 나의 제국을 집어삼킬 수 있는 8클래스의 대마법사.”
“그런 괴물을 어찌 살려둘 수가 있겠나?”

친구이자 주군이었던 라그나르에게 배신당하고 죽음의 문턱을 넘기 직전,
시간 마법의 주문이 새겨진 단검을 심장에 찔러 넣었다.

‘내가 원했던 참회란, 모든 것을 되돌려놓는 것.’


인류 최초의 8클래스 마법사 이안 페이지.
그가 30년 전 과거로 돌아왔다.",카카오페이지
11,그녀와 야수,"홍슬,마지노선",로판,"제국의 시조였던 전설적인 인물 마티나의 죽음으로부터 백 년 후,
마티나는 귀족가의 일개 여식인 아스티나로 환생한다.

전생과 다른 평화로운 일상은 잠시,
아버지의 파산으로 인해 아스티나는
야수의 형상을 한 테리오드 대공에게로 팔려 간다.

“급소를 쳐서 기절시켰어요.”
“기…… 절시키셨다고요?”

하룻밤에 죽어 나갈 것이라는 모두의 예상과 달리
그녀는 화려한 검술로 괴물 테리오드를 제압해
애완동물로 길들이기 시작한다.

“테오, 앉아.”
“컹!”

달빛이 아름다운 어느 밤,
자신을 잘 따르는 테리오드가 기특해
아스티나는 그에게 짧게 입을 맞춰 주는데……

“……테오?”

아스티나의 애완동물이……
사람이 됐다?

결핍된 괴물 남편과 무심한 아내의 본격 조련 로맨스!

==============================

[표지 및 타이틀 로고 디자인] 송가희",카카오페이지
12,무협지 최고 악당의 귀한 딸입니다,"다우,쌀국수,솔땀",로판,"부잣집 딸로 환생한 줄 알았건만, 무협지 최고 악당의 딸로 태어났다?!
무관심한 아빠, 결국 날 죽이는 오빠,
살아남기 위해선 어서 무공을 익혀 튀어야 하는데...!
이 두 빠빠... 왜 자꾸 날 귀여워하는겨?!",카카오페이지
13,나는 이 집 아이,"코튼,시야",로판,"전생의 기억이 좀 있다는 것만 빼면 평범한(?) 사생아로서 시간을 보내왔다.
그러던 어느 날, 창녀인 어머니가 열한 살이 된 나를 아버지 앞으로 데리고 갔다.

“1만 골드를 줘요.”
“2만 골드를 주지. 대신 이것에서 손 떼.”

차가운 거래에 움츠러들어 있는데 그냥 부자인 줄 알았던 아버지가, 알고 보니 제국 유일의 공작이란다.

이제 난 어떻게 되는 걸까?
내가 정말 이 집 아이일까?",카카오페이지
14,아도니스,"구당,결정,혜돌이,팀 아도니스",로판,"자신과 누구보다 닮았던 자, 그래서 서로에게만 집중했고 광적으로 집착했다.
다만 한쪽은 상대의 온기를, 한쪽은 완전히 꺾기를 원한 아르하드와 이아나.
주인공 이아나는 적국의 황제가 된 아르하드와의 싸움에서 삶을 미련 없이 끝내지만,
영문도 모른 채, 다시 되살아나 자신이 살아왔던 삶을 반복하게 된다.
전생에서 파국을 맞이하게 된 두 사람은, 새로운 생에서도 또다시 만나게 되고, 비극을 반복하게 되는 것일까….",카카오페이지
15,그 악녀를 조심하세요!,"열매,푸른칸나,뽕따맛스크류바",로판,"소설 속 희대의 악녀에 빙의했다! 싫냐고? 아니? 좋은데?
공작영애 = 돈 많은 백수인 것을 내가 마다할 리가! 꿀이나 빨면서 여유롭게 살기 딱 좋지 않은가? 원작같은 건 다 떨쳐버리고 나의 삶을 사는거야!

그렇게 다짐했던 내가 이 몸에 빙의한지 얼마 되지 않아 목격한 것은 나의 약혼남이자 원작의 남주인공인 '황태자 이안'의 불륜 현장이었다. 

내가 아닌 다른 여자를 품에 안고 시시덕거리는 그를 보며 나는 눈물……따윈 개뿔, 나오지도 않더라. 내 눈물은 비싸서 저런 쓰레기에게 흘리기엔 아깝거든. 눈물 대신 깊은 빡침을 담은 목소리로 물었다.

""전하는 개자식인가요?""

고구마밭에 떨어진 역대급 사이다 여주! 환장하는 원작을 뒤집어 엎기위한 걸크러쉬 그녀!
이유? 여주가 똥차같은 남주들에게 휘둘리기엔 너무 아까웠거든.

원작 여주에게 꼬이는 똥차들을 치우는 그녀와, 그녀만을 바라보는 늑댕이 한마리의 이야기!",카카오페이지
16,불패검선,"FIST CAT,김찬영,적하",액션무협,"시골 객점의 아들 송우문.
어릴 적부터 몸이 약했던 그는
어느 날 노도사가 그려 주고 간
산수화를 보고 바보가 된다.

그렇게 동네에선 바보라 놀림받고
부모에겐 한심한 아들로 자라지만

스무 살이 되던 날!
각성과 함께 산수화 속 절대무공을 꽃피운다!",카카오페이지
17,롱리브더킹,버드나무숲,드라마,"한 여인을 위해 불가능에 도전하는 남자가 있다. 의리와 사랑을 빼고는 아무것도 없다고 말하는 남자 장세출! 사랑하는 여인 강소현을 위해, 목숨보다 더 소중한 친구 정춘택을 위해, 목포 건달 장세출은 대통령이라는 꿈에 도전한다.
[매주 월요일 연재]",카카오페이지
18,내가 죽이기로 했다,김찹쌀,드라마,"악한 범죄자들에게 약한 처벌은 정말 정당한 것인가?
그들의 손으로 앗아온 삶의 대가를 치뤄야 하는 게 아닐까? 
륜건은 마음 속에서 법에 대한 생각이 혼란스럽고 
이때  죄지은 자들을 손수 처리하는 성태를 만나게 되는데....",카카오페이지
19,"황녀, 반역자를 각인시키다","수리(COPIN),사공(COPIN),이린비",로판,"호문클루스에 의해 황실은 망하고 제7황녀, 이뷔엔로즈는 그들 편에 선 동생에 의해 독약을 마시고 죽는다. 다시 눈을 떴을 때, 8년 전으로 돌아와 있었고 그녀는 황실의 몰락을 막기 위해 호문클루스들의 왕이자 공중감옥의 괴물 '미카엘'을 자신의 기사로 들이기로 한다.

""미카엘, 난 그대가 필요해. 아주 절실하게 말이야.""",카카오페이지
20,모시던 아가씨가 도련님이 되어버렸다,"시그마,태비의별",로판,"조연에 빙의한 지 9년 차, 모시던 아가씨가 도련님이 되어 찾아왔다.

*

원작 여주인공의 시녀 생활을 청산한 지도 4년.
웬 잘생긴 남자가 찾아왔다.
그것도, 내가 모시던 아가씨를 닮은 남자가.

“약속을 지키러 왔어, 블레아. 나와 평생을 함께하겠다고 했잖아.”
“설마… 아가씨?”

순간, 남자의 붉은 눈에 이채가 돌았다.
코앞까지 다가온 그가 고개를 기울여 내 머리카락에 입 맞췄다.
그리고 속삭였다.
아주 다정하고 아름다운 목소리로.

“이젠 도련님이라 불러야지.”

……네?

*

원작대로라면 여주인공, 클로이는 후회에 찌든 가족들을 거느리고
남주인공 후보들과 해피라이프를 즐길 수 있었다.

하지만 연재 중지되었던 원작 소설에는 큰 비밀이 있었으니……
여주인공이 알고 보니 남자라면 어떻게 되는 거지?

“크… 클로드, 가족들에게 가보지 않아도 괜찮아요?”
“말했잖아. 필요 없어.”
“그럼 저번에 그 남자분들은…….”
“지금 내 앞에서 다른 남자 이야기를 하겠다고?”

…그 남자들이 원래 당신이랑 이어져야 했을 남주인공들인데요.

“나는 너만 있으면 돼. 다른 건 알 바 아냐.”

가족 후회물의 주인공께서 모든 걸 다 뻥 차 버리고 내 곁에 있겠다고 선언했다.

“그러니, 블레아. 너도 나만 보는 거야.”

전에 없이 다정한 눈 속에 집착이 가득했다.


*********************

로판 화제작 태비의별 작가님의 <모시던 아가씨가 도련님이 되어버렸다> 본격 웹툰화!
빙의된 하녀 블레아와 츤데레 클로이의 티키타카 찐케미를 만나보세요!!

*********************",카카오페이지
21,녹음의 관,"삵,비누,시야",로판,"남자주인공에게 트라우마를 남긴 계모의 딸에 빙의했다.
이 모든 것은 내가 열 다섯 살 때 쓴 소설 속 안.
괜찮아, 어떻게든 널 행복하게 만들어줄게.
내가 이 소설의 원작자라고!

""저는 단 한번도 누님을 가족이라 생각한 적이 없습니다.""

남주 행복 프로젝트, 열심히 실천하고 있다고 생각했는데.
왜 나를 가족으로 인정해주지 않는거니?
남주가 공작이 되기 전까지 나, 무사히 살아남을 수 있을까?",카카오페이지
22,레벨업 못하는 플레이어,"앵무새,박정재,스튜디오 크힛,가빈지",소년,"18세의 나이에 '플레이어'로 각성한 김기규.

'탑'을 오르고 '게이트'를 닫으며 인생이 탄탄대로일 줄 알았는데...

튜토리얼을 아무리 클리어해도 레벨1.

1일 1고블린을 해도 레벨1.

5년이 지나도 레벨1.

""누가 알았겠냐고, 이런 플레이어가 있는지.""

그 누구도 몰랐다.

탑을 뒤흔들 레벨1의 역대급 반전 능력을!",카카오페이지
23,4000년 만에 귀환한 대마도사,"따개비,김덕용(REDICE STUDIO),낙하산",소년,"웨스트로드 아카데미의 열등생, 블레이크 가문의 수치.
괴로운 삶을 이기지 못해 죽음을 선택한
프레이 블레이크의 몸에 새로운 영혼이 깃든다.

“뭐야, 이 몸뚱이는?
하나부터 열까지 손 봐야겠군.”

대마도사 루카스 트로우맨.

열등생 프레이 블레이크의 육체로 복수의 기회를 얻다!

4000년의 시간을 넘어 귀환한
대마도사의 화려한 액션이 시작된다!",카카오페이지
24,니니툰즈,"니니즈,서콩",드라마,"베일에 쌓인 스노우타운.
지금까지 숨겨왔던 니니즈의 수줍은 귀여움이 공개된다.
코미디, 드라마, 우당탕탕 액션, 병맛까지!

다섯개의 챕터로 찾아올 니니툰즈!
과연 다음 챕터의 주인공은 누구?!

까면 깔수록 매력적인 니니즈를 니니툰즈에서 만나보자!",카카오페이지
25,무련전봉,"막묵,벽가벽",액션무협,"제자들의 경쟁이 심하기로 이름난 능력지상주의 문파 ‘능소각’. 
3년이나 수련을 했지만 종파에서 수련 등급이 가장 뒤처져 동기들에게 갖은 수모를 당하던 ‘양준’은 어느 날 의문의 서책 한 권을 발견한다. 
그 서책에는 무도(武道)를 익히는 수련법과 정체 모를 힘이 숨겨져 있는데…… 

과연 ‘양준’은 그 서책을 통해 무도(武道)를 익히고, 험난하고 외로운 싸움에서 무도(武道)의 최고봉까지 올라설 수 있을 것인가?",카카오페이지
26,아비무쌍,"노경찬,이현석",액션무협,"하늘의 뜻을 아니, 그 누가 아비父에 견주리오! 
고아로 떠돌다 운 좋게 스승을 만나 특급 해결사로 이름을 날리던 노가장.
사랑하는 여인을 만나 이름대로 가장家長이 된다는 기쁨도 잠시, 하루아침에 핏덩이 세쌍둥이를 홀로 키워야 하는 신세가 되었다. 아비는 그 어떤 경우라도 제 새끼의 입에 먹을 걸 넣어 줘야 하는 존재인 법! 노가장은 위험천만한 낭인 생활을 때려치우고 천룡회 갑급 무사가 되어  자식새끼들 잘 먹이고 입히고자 한다. 하지만 억지로 나간 출장 임무는 목숨이 위험하기만 하고 그 사이 사방에선 그의 아이들을 눈독 들이기 시작하는데…… 기다려라, 내 새끼들아! 여기 아비가 간다! 
아버지, 노가장의 좌충우돌 무협 액션&육아 일지!

* 원작소설 <지천명아비무쌍>",카카오페이지
27,미화원,강구,소년,"""나? 너희들 같은 쓰레기 청소하는 미화원.""

사회의 쓰레기들을 청소하는 미화원 조직의 일원인 진성원.
솜방망이 같은 법으로는 온전히 처벌할 수 없는
악당들을 '처리'하는 그에게
유일한 희망은 하루빨리 목표를 달성하여
가석방을 받아 여동생과 함께 사는 것뿐이다.

미화원 조직을 관리하는 강 실장의 견제 속에서
조직의 정의를 자신의 정의로 동일시하며 악당들을 처단하지만
어느 날부터 모든 것이 어긋나기 시작하는데...


-------------------------------
*매주 화요일 00시 연재됩니다.*",카카오페이지
28,학사귀환,"외솔,소유현",액션무협,"관리가 되기 위해 길을 떠났던 학사, 마현.  
행방불명된 지 십 년 만에 절대고수가 되어 돌아왔다.

“불효자 마현…… 돌아왔습니다.”

흑천맹이란 수상한 암조직을 뒤쫓는 한편,
학문의 뜻을 펼치고자 와룡서원을 열게 된다.

개성이 넘치는 10명의 제자들을 잘 키워내고,
흑천맹의 정체도 밝혀 낼 수 있을까?

중원 최강의 스승 마현의
서원 이야기가 지금 펼쳐진다!

*****************
소유현 작가님의 인기 소설 <학사귀환>을 웹툰으로 만나보세요!
*****************",카카오페이지
29,궁귀검신,"박광진,조돈형",액션무협,"조돈형 작가의 궁귀검신, 만화로 다시 태어나다!

""활이라는 것은 눈에 보이는 거리를 뛰어넘어 그 뒤에 도사리고 있는 생명까지 지배하는 병기다. 눈에 보이지도 않는 무기가 생명을 노린다고 가정을 해 보거라. 이보다 두려운 것이 또 무엇이 있겠느냐?""

악덕 조부와의 고난에 찬 수련행.
정혼녀를 찾아 떠난 즐거운 중원행.
어지러운 무림을 바로잡는 영웅행.
이기어검과 이기어도를 능가하는 이기어시의 신선한 등장! 
내일을 향해 쏘아 볼까나?!",카카오페이지
30,만렙 영웅님께서 귀환하신다!,"유도,악마꼬리",소년,"힘없는 골방왕자 데이비,
혼수상태에서 영혼이 빠져나온 그가 도착한 곳은
영웅들의 혼이 모인 거대한 회랑.

천년동안 굴려진, 그가 만렙 영웅님이 되어 귀환하셨다!

기다려라, 모두
제대로 상대해주마!

데이비의 통쾌한 복수극과 왕궁생활기가 지금 시작됩니다!

**********
악마꼬리 작가님의 인기판타지소설<만렙 영웅님께서 귀환하신다!>를 웹툰으로 만나보세요!
**********",카카오페이지
31,도굴왕,"윤쓰(REDICE STUDIO),쓰리비투에스,산지직송",소년,"현대에 출몰한 신의 무덤.
유물로 영웅의 능력을 쓰게 된 사람들, 부를 얻게 된 사람들.

그리고 그 유물을 털어가는 의문의 도굴꾼이 나타났다.

도굴왕.

""아이씨, 미치겠네. 여기도 또 그자식이 다 털어 갔냐!""

네 것도 내 것. 내 건 당연히 내 것.
다시 살아난 도굴꾼, 그가 세상 모든 무덤을 접수하기 시작한다!

------------------------------------------------------
웹툰 <도굴왕>은 매주 화요일, 금요일 주 2회 연재됩니다.
------------------------------------------------------",카카오페이지
32,괴,야설록,액션무협,"삼백 년 전의 세상으로 다시 돌아온 절대자.
허나 그가 돌아온 세상은 바로..!

괴이(怪異)하고 또 괴이한 이야기.
괴(怪)하고 괴하니 층층괴이(層層怪異)하도다.
환상 무협의 새로운 지평을 여는 대작이 지금부터 시작됩니다!",카카오페이지
33,막내 황녀님,"돌대 [악어스튜디오],사하",로판,"마도왕국을 다스리던 대법사.
어느 날 제국의 막내 황녀님으로 태어나다!

""그냥 아기인척 적당히 비위 맞춰줘야겠다.
...그런데 다들 날 너무 좋아하는 거 아냐?""

좋아하다 못해 도대체 가만 놔두질 않는다.
막내 황녀님은 오늘도 피곤하다.",카카오페이지
34,악녀는 마리오네트,"망글이,한이림",로판,"""아름다움은 진짜 권력이 될 수 없다.""

제국에서 가장 아름답다 칭송받지만,
사치와 패악밖에 모르는 황녀 카예나 힐.

그녀는 폭군 남동생이 제위를 얻기 위한 장기말로 이용 당하다
미치광이 남편에게 살해당해 악역다운 최후를 맞을 예정이었다.

…내가 그 카예나 황녀가 되기 전까지는.

""너를 황제로 만들어줄게.""
""…누님이 저를 말입니까?""
""대신 나에게 자유를 줘.""

독가시를 품은 장미,
죽음을 부르는 아름다움…

이번 생은 나로서 살아가고 싶다.

--------------------------------
*매주 화요일 00시에 연재됩니다.*",카카오페이지
35,짐승같은 스캔들,"박플럼 [악어스튜디오],샨탈",로맨스,"청아함의 대표주자 국민 여배우 여고은, 그리고 퇴폐미 넘치는 스캔들메이커 서범의. 
사실, 이 둘에게는 비밀이 있다. 소속사의 농간으로 '절친 연기'를 하고 있다는 것.

<절친 특집> 리얼리티 프로그램에서는 한없이 애틋하고 다정해 보이는 두 사람, 하지만 이 모든 건 연기였다!

""난 너랑 친구할 생각 없거든? 영.원.히.""
""나도 없거든, 친구 할 생각.""

처음에는 분명 만날 때마다 으르렁대기 바빴던 둘. 
프로그램을 촬영하면서 어느 순간 점점 더 가까워지고, 범의를 싫어하던 고은의 마음에도 작은 변화가 생기기 시작하는데...

이런 고은의 마음을 아는지 모르는지, 자꾸 고은에게 다가오는 범의. 
누군가가 간절히 필요한 상황마다 고은 앞에 나타나는 범의의 모습과 촬영 전 술집에서 범의를 봤던 기억이 겹치며 고은은 혼란스러워 한다.
가벼운 사람인 줄로만 알았는데 자신에게 진심을 보여주는 범의의 모습에 고은은 점점 더 흔들리는데...

과연 이 둘은 오해를 풀고 '가짜 절친'에서 벗어나 '진짜 연인'이 될 수 있을까?",카카오페이지
